depth,example_id,minimum_native_recovery_depth,recovery_depth_cap,seed,unreachable_within_model,window
8,chain-309461-d8,7,7,67,1,w128
4,chain-414190-d4,7,7,67,1,w128
8,chain-518919-d8,7,7,67,1,w128
4,chain-623648-d4,4,7,67,0,w128
8,chain-728377-d8,7,7,67,1,w128
3,chain-833106-d3,7,7,67,1,w128
8,chain-937835-d8,7,7,67,1,w128
8,chain-1042564-d8,7,7,67,1,w128
8,chain-1147293-d8,7,7,67,1,w128
8,chain-1252022-d8,7,7,67,1,w128
2,chain-1356751-d2,1,7,67,0,w128
3,chain-1461480-d3,1,7,67,0,w128
2,chain-1566209-d2,7,7,67,1,w128
8,chain-1670938-d8,7,7,67,1,w128
2,chain-1775667-d2,2,7,67,0,w128
4,chain-1880396-d4,7,7,67,1,w128
3,chain-1985125-d3,2,7,67,0,w128
4,chain-2089854-d4,7,7,67,1,w128
8,chain-2194583-d8,7,7,67,1,w128
3,chain-2299312-d3,7,7,67,1,w128
2,chain-2404041-d2,3,7,67,0,w128
2,chain-2508770-d2,1,7,67,0,w128
2,chain-2613499-d2,1,7,67,0,w128
4,chain-2718228-d4,7,7,67,1,w128
4,chain-2822957-d4,7,7,67,1,w128
4,chain-2927686-d4,7,7,67,1,w128
8,chain-3032415-d8,7,7,67,1,w128
8,chain-3137144-d8,7,7,67,1,w128
8,chain-3241873-d8,7,7,67,1,w128
8,chain-3346602-d8,7,7,67,1,w128
8,chain-3451331-d8,7,7,67,1,w128
3,chain-3556060-d3,2,7,67,0,w128
8,chain-3660789-d8,7,7,67,1,w128
8,chain-3765518-d8,7,7,67,1,w128
8,chain-3870247-d8,7,7,67,1,w128
4,chain-3974976-d4,7,7,67,1,w128
2,chain-4079705-d2,1,7,67,0,w128
3,chain-4184434-d3,7,7,67,1,w128
2,chain-4289163-d2,1,7,67,0,w128
4,chain-4393892-d4,6,7,67,0,w128
4,chain-4498621-d4,7,7,67,1,w128
8,chain-4603350-d8,7,7,67,1,w128
3,chain-4708079-d3,2,7,67,0,w128
3,chain-4812808-d3,7,7,67,1,w128
2,chain-4917537-d2,1,7,67,0,w128
2,chain-5022266-d2,1,7,67,0,w128
4,chain-5126995-d4,7,7,67,1,w128
8,chain-5231724-d8,7,7,67,1,w128
8,chain-5336453-d8,7,7,67,1,w128
4,chain-5441182-d4,7,7,67,1,w128
2,chain-5545911-d2,1,7,67,0,w128
3,chain-5650640-d3,2,7,67,0,w128
3,chain-5755369-d3,7,7,67,1,w128
4,chain-5860098-d4,7,7,67,1,w128
3,chain-5964827-d3,2,7,67,0,w128
4,chain-6069556-d4,3,7,67,0,w128
3,chain-6174285-d3,2,7,67,0,w128
2,chain-6279014-d2,1,7,67,0,w128
2,chain-6383743-d2,2,7,67,0,w128
8,chain-6488472-d8,7,7,67,1,w128
2,chain-6593201-d2,1,7,67,0,w128
4,chain-6697930-d4,7,7,67,1,w128
4,chain-100003-d4,2,7,17,0,global
8,chain-204732-d8,7,7,17,1,global
8,chain-309461-d8,7,7,17,1,global
4,chain-414190-d4,7,7,17,1,global
8,chain-518919-d8,7,7,17,1,global
4,chain-623648-d4,7,7,17,1,global
8,chain-728377-d8,7,7,17,1,global
3,chain-833106-d3,7,7,17,1,global
8,chain-937835-d8,7,7,17,1,global
8,chain-1042564-d8,7,7,17,1,global
8,chain-1147293-d8,7,7,17,1,global
8,chain-1252022-d8,7,7,17,1,global
2,chain-1356751-d2,1,7,17,0,global
3,chain-1461480-d3,2,7,17,0,global
2,chain-1566209-d2,1,7,17,0,global
8,chain-1670938-d8,7,7,17,1,global
2,chain-1775667-d2,1,7,17,0,global
4,chain-1880396-d4,7,7,17,1,global
3,chain-1985125-d3,7,7,17,1,global
4,chain-2089854-d4,2,7,17,0,global
8,chain-2194583-d8,7,7,17,1,global
3,chain-2299312-d3,7,7,17,1,global
2,chain-2404041-d2,1,7,17,0,global
2,chain-2508770-d2,4,7,17,0,global
2,chain-2613499-d2,1,7,17,0,global
4,chain-2718228-d4,7,7,17,1,global
4,chain-2822957-d4,7,7,17,1,global
4,chain-2927686-d4,3,7,17,0,global
8,chain-3032415-d8,7,7,17,1,global
8,chain-3137144-d8,7,7,17,1,global
8,chain-3241873-d8,7,7,17,1,global
8,chain-3346602-d8,7,7,17,1,global
8,chain-3451331-d8,7,7,17,1,global
3,chain-3556060-d3,5,7,17,0,global
8,chain-3660789-d8,7,7,17,1,global
8,chain-3765518-d8,7,7,17,1,global
8,chain-3870247-d8,7,7,17,1,global
4,chain-3974976-d4,7,7,17,1,global
2,chain-4079705-d2,1,7,17,0,global
3,chain-4184434-d3,7,7,17,1,global
2,chain-4289163-d2,2,7,17,0,global
4,chain-4393892-d4,3,7,17,0,global
4,chain-4498621-d4,7,7,17,1,global
8,chain-4603350-d8,7,7,17,1,global
3,chain-4708079-d3,2,7,17,0,global
3,chain-4812808-d3,7,7,17,1,global
2,chain-4917537-d2,1,7,17,0,global
2,chain-5022266-d2,1,7,17,0,global
4,chain-5126995-d4,7,7,17,1,global
8,chain-5231724-d8,7,7,17,1,global
8,chain-5336453-d8,7,7,17,1,global
4,chain-5441182-d4,7,7,17,1,global
2,chain-5545911-d2,3,7,17,0,global
3,chain-5650640-d3,7,7,17,1,global
3,chain-5755369-d3,7,7,17,1,global
4,chain-5860098-d4,7,7,17,1,global
3,chain-5964827-d3,2,7,17,0,global
4,chain-6069556-d4,7,7,17,1,global
3,chain-6174285-d3,7,7,17,1,global
2,chain-6279014-d2,1,7,17,0,global
2,chain-6383743-d2,2,7,17,0,global
8,chain-6488472-d8,7,7,17,1,global
2,chain-6593201-d2,3,7,17,0,global
4,chain-6697930-d4,7,7,17,1,global
4,chain-100003-d4,7,7,29,1,global
8,chain-204732-d8,7,7,29,1,global
8,chain-309461-d8,7,7,29,1,global
4,chain-414190-d4,7,7,29,1,global
8,chain-518919-d8,7,7,29,1,global
4,chain-623648-d4,7,7,29,1,global
8,chain-728377-d8,7,7,29,1,global
3,chain-833106-d3,7,7,29,1,global
8,chain-937835-d8,7,7,29,1,global
8,chain-1042564-d8,7,7,29,1,global
8,chain-1147293-d8,7,7,29,1,global
8,chain-1252022-d8,7,7,29,1,global
2,chain-1356751-d2,1,7,29,0,global
3,chain-1461480-d3,2,7,29,0,global
2,chain-1566209-d2,1,7,29,0,global
8,chain-1670938-d8,7,7,29,1,global
2,chain-1775667-d2,2,7,29,0,global
4,chain-1880396-d4,7,7,29,1,global
3,chain-1985125-d3,6,7,29,0,global
4,chain-2089854-d4,4,7,29,0,global
8,chain-2194583-d8,7,7,29,1,global
3,chain-2299312-d3,7,7,29,1,global
2,chain-2404041-d2,2,7,29,0,global
2,chain-2508770-d2,7,7,29,1,global
2,chain-2613499-d2,1,7,29,0,global
4,chain-2718228-d4,7,7,29,1,global
4,chain-2822957-d4,6,7,29,0,global
4,chain-2927686-d4,7,7,29,1,global
8,chain-3032415-d8,7,7,29,1,global
8,chain-3137144-d8,7,7,29,1,global
8,chain-3241873-d8,7,7,29,1,global
8,chain-3346602-d8,7,7,29,1,global
8,chain-3451331-d8,7,7,29,1,global
3,chain-3556060-d3,3,7,29,0,global
8,chain-3660789-d8,7,7,29,1,global
8,chain-3765518-d8,7,7,29,1,global
8,chain-3870247-d8,7,7,29,1,global
4,chain-3974976-d4,7,7,29,1,global
2,chain-4079705-d2,2,7,29,0,global
3,chain-4184434-d3,1,7,29,0,global
2,chain-4289163-d2,3,7,29,0,global
4,chain-4393892-d4,7,7,29,1,global
4,chain-4498621-d4,7,7,29,1,global
8,chain-4603350-d8,7,7,29,1,global
3,chain-4708079-d3,7,7,29,1,global
3,chain-4812808-d3,7,7,29,1,global
2,chain-4917537-d2,1,7,29,0,global
2,chain-5022266-d2,1,7,29,0,global
4,chain-5126995-d4,7,7,29,1,global
8,chain-5231724-d8,7,7,29,1,global
8,chain-5336453-d8,7,7,29,1,global
4,chain-5441182-d4,7,7,29,1,global
2,chain-5545911-d2,2,7,29,0,global
3,chain-5650640-d3,1,7,29,0,global
3,chain-5755369-d3,7,7,29,1,global
4,chain-5860098-d4,7,7,29,1,global
3,chain-5964827-d3,7,7,29,1,global
4,chain-6069556-d4,7,7,29,1,global
3,chain-6174285-d3,3,7,29,0,global
2,chain-6279014-d2,1,7,29,0,global
2,chain-6383743-d2,1,7,29,0,global
8,chain-6488472-d8,7,7,29,1,global
2,chain-6593201-d2,1,7,29,0,global
4,chain-6697930-d4,7,7,29,1,global
4,chain-100003-d4,7,7,41,1,global
8,chain-204732-d8,7,7,41,1,global
8,chain-309461-d8,7,7,41,1,global
4,chain-414190-d4,1,7,41,0,global
8,chain-518919-d8,7,7,41,1,global
4,chain-623648-d4,3,7,41,0,global
8,chain-728377-d8,7,7,41,1,global
3,chain-833106-d3,7,7,41,1,global
8,chain-937835-d8,7,7,41,1,global
8,chain-1042564-d8,7,7,41,1,global
8,chain-1147293-d8,7,7,41,1,global
8,chain-1252022-d8,7,7,41,1,global
2,chain-1356751-d2,1,7,41,0,global
3,chain-1461480-d3,1,7,41,0,global
2,chain-1566209-d2,1,7,41,0,global
8,chain-1670938-d8,7,7,41,1,global
2,chain-1775667-d2,1,7,41,0,global
4,chain-1880396-d4,7,7,41,1,global
3,chain-1985125-d3,7,7,41,1,global
4,chain-2089854-d4,7,7,41,1,global
8,chain-2194583-d8,7,7,41,1,global
3,chain-2299312-d3,7,7,41,1,global
2,chain-2404041-d2,7,7,41,1,global
2,chain-2508770-d2,1,7,41,0,global
2,chain-2613499-d2,1,7,41,0,global
4,chain-2718228-d4,7,7,41,1,global
4,chain-2822957-d4,7,7,41,1,global
4,chain-2927686-d4,7,7,41,1,global
8,chain-3032415-d8,7,7,41,1,global
8,chain-3137144-d8,7,7,41,1,global
8,chain-3241873-d8,7,7,41,1,global
8,chain-3346602-d8,7,7,41,1,global
8,chain-3451331-d8,7,7,41,1,global
3,chain-3556060-d3,7,7,41,1,global
8,chain-3660789-d8,7,7,41,1,global
8,chain-3765518-d8,7,7,41,1,global
8,chain-3870247-d8,7,7,41,1,global
4,chain-3974976-d4,7,7,41,1,global
2,chain-4079705-d2,1,7,41,0,global
3,chain-4184434-d3,1,7,41,0,global
2,chain-4289163-d2,1,7,41,0,global
4,chain-4393892-d4,7,7,41,1,global
4,chain-4498621-d4,7,7,41,1,global
8,chain-4603350-d8,7,7,41,1,global
3,chain-4708079-d3,7,7,41,1,global
3,chain-4812808-d3,7,7,41,1,global
2,chain-4917537-d2,1,7,41,0,global
2,chain-5022266-d2,1,7,41,0,global
4,chain-5126995-d4,7,7,41,1,global
8,chain-5231724-d8,7,7,41,1,global
8,chain-5336453-d8,7,7,41,1,global
4,chain-5441182-d4,1,7,41,0,global
2,chain-5545911-d2,1,7,41,0,global
3,chain-5650640-d3,7,7,41,1,global
3,chain-5755369-d3,1,7,41,0,global
4,chain-5860098-d4,7,7,41,1,global
3,chain-5964827-d3,7,7,41,1,global
4,chain-6069556-d4,7,7,41,1,global
3,chain-6174285-d3,7,7,41,1,global
2,chain-6279014-d2,1,7,41,0,global
2,chain-6383743-d2,1,7,41,0,global
8,chain-6488472-d8,7,7,41,1,global
2,chain-6593201-d2,3,7,41,0,global
4,chain-6697930-d4,7,7,41,1,global
4,chain-100003-d4,7,7,53,1,global
8,chain-204732-d8,7,7,53,1,global
8,chain-309461-d8,7,7,53,1,global
4,chain-414190-d4,7,7,53,1,global
8,chain-518919-d8,7,7,53,1,global
4,chain-623648-d4,7,7,53,1,global
8,chain-728377-d8,7,7,53,1,global
3,chain-833106-d3,7,7,53,1,global
8,chain-937835-d8,7,7,53,1,global
8,chain-1042564-d8,7,7,53,1,global
8,chain-1147293-d8,7,7,53,1,global
8,chain-1252022-d8,7,7,53,1,global
2,chain-1356751-d2,1,7,53,0,global
3,chain-1461480-d3,3,7,53,0,global
2,chain-1566209-d2,1,7,53,0,global
8,chain-1670938-d8,7,7,53,1,global
2,chain-1775667-d2,6,7,53,0,global
4,chain-1880396-d4,7,7,53,1,global
3,chain-1985125-d3,7,7,53,1,global
4,chain-2089854-d4,6,7,53,0,global
8,chain-2194583-d8,7,7,53,1,global
3,chain-2299312-d3,7,7,53,1,global
2,chain-2404041-d2,7,7,53,1,global
2,chain-2508770-d2,3,7,53,0,global
2,chain-2613499-d2,1,7,53,0,global
4,chain-2718228-d4,2,7,53,0,global
4,chain-2822957-d4,5,7,53,0,global
4,chain-2927686-d4,7,7,53,1,global
8,chain-3032415-d8,7,7,53,1,global
8,chain-3137144-d8,7,7,53,1,global
8,chain-3241873-d8,7,7,53,1,global
8,chain-3346602-d8,7,7,53,1,global
8,chain-3451331-d8,7,7,53,1,global
3,chain-3556060-d3,7,7,53,1,global
8,chain-3660789-d8,7,7,53,1,global
8,chain-3765518-d8,7,7,53,1,global
8,chain-3870247-d8,7,7,53,1,global
4,chain-3974976-d4,7,7,53,1,global
2,chain-4079705-d2,1,7,53,0,global
3,chain-4184434-d3,1,7,53,0,global
2,chain-4289163-d2,3,7,53,0,global
4,chain-4393892-d4,5,7,53,0,global
4,chain-4498621-d4,7,7,53,1,global
8,chain-4603350-d8,7,7,53,1,global
3,chain-4708079-d3,4,7,53,0,global
3,chain-4812808-d3,7,7,53,1,global
2,chain-4917537-d2,2,7,53,0,global
2,chain-5022266-d2,2,7,53,0,global
4,chain-5126995-d4,7,7,53,1,global
8,chain-5231724-d8,7,7,53,1,global
8,chain-5336453-d8,7,7,53,1,global
4,chain-5441182-d4,7,7,53,1,global
2,chain-5545911-d2,1,7,53,0,global
3,chain-5650640-d3,1,7,53,0,global
3,chain-5755369-d3,7,7,53,1,global
4,chain-5860098-d4,7,7,53,1,global
3,chain-5964827-d3,7,7,53,1,global
4,chain-6069556-d4,7,7,53,1,global
3,chain-6174285-d3,1,7,53,0,global
2,chain-6279014-d2,1,7,53,0,global
2,chain-6383743-d2,2,7,53,0,global
8,chain-6488472-d8,7,7,53,1,global
2,chain-6593201-d2,1,7,53,0,global
4,chain-6697930-d4,7,7,53,1,global
4,chain-100003-d4,7,7,67,1,global
8,chain-204732-d8,7,7,67,1,global
8,chain-309461-d8,7,7,67,1,global
4,chain-414190-d4,7,7,67,1,global
8,chain-518919-d8,7,7,67,1,global
4,chain-623648-d4,3,7,67,0,global
8,chain-728377-d8,7,7,67,1,global
3,chain-833106-d3,7,7,67,1,global
8,chain-937835-d8,7,7,67,1,global
8,chain-1042564-d8,7,7,67,1,global
8,chain-1147293-d8,7,7,67,1,global
8,chain-1252022-d8,7,7,67,1,global
2,chain-1356751-d2,1,7,67,0,global
3,chain-1461480-d3,1,7,67,0,global
2,chain-1566209-d2,7,7,67,1,global
8,chain-1670938-d8,7,7,67,1,global
2,chain-1775667-d2,3,7,67,0,global
4,chain-1880396-d4,7,7,67,1,global
3,chain-1985125-d3,2,7,67,0,global
4,chain-2089854-d4,3,7,67,0,global
8,chain-2194583-d8,7,7,67,1,global
3,chain-2299312-d3,7,7,67,1,global
2,chain-2404041-d2,7,7,67,1,global
2,chain-2508770-d2,1,7,67,0,global
2,chain-2613499-d2,1,7,67,0,global
4,chain-2718228-d4,7,7,67,1,global
4,chain-2822957-d4,6,7,67,0,global
4,chain-2927686-d4,7,7,67,1,global
8,chain-3032415-d8,7,7,67,1,global
8,chain-3137144-d8,7,7,67,1,global
8,chain-3241873-d8,7,7,67,1,global
8,chain-3346602-d8,7,7,67,1,global
8,chain-3451331-d8,7,7,67,1,global
3,chain-3556060-d3,7,7,67,1,global
8,chain-3660789-d8,7,7,67,1,global
8,chain-3765518-d8,7,7,67,1,global
8,chain-3870247-d8,7,7,67,1,global
4,chain-3974976-d4,7,7,67,1,global
2,chain-4079705-d2,1,7,67,0,global
3,chain-4184434-d3,7,7,67,1,global
2,chain-4289163-d2,1,7,67,0,global
4,chain-4393892-d4,6,7,67,0,global
4,chain-4498621-d4,7,7,67,1,global
8,chain-4603350-d8,7,7,67,1,global
3,chain-4708079-d3,2,7,67,0,global
3,chain-4812808-d3,7,7,67,1,global
2,chain-4917537-d2,1,7,67,0,global
2,chain-5022266-d2,1,7,67,0,global
4,chain-5126995-d4,7,7,67,1,global
8,chain-5231724-d8,7,7,67,1,global
8,chain-5336453-d8,7,7,67,1,global
4,chain-5441182-d4,7,7,67,1,global
2,chain-5545911-d2,1,7,67,0,global
3,chain-5650640-d3,5,7,67,0,global
3,chain-5755369-d3,7,7,67,1,global
4,chain-5860098-d4,7,7,67,1,global
3,chain-5964827-d3,2,7,67,0,global
4,chain-6069556-d4,7,7,67,1,global
3,chain-6174285-d3,2,7,67,0,global
2,chain-6279014-d2,2,7,67,0,global
2,chain-6383743-d2,3,7,67,0,global
8,chain-6488472-d8,7,7,67,1,global
2,chain-6593201-d2,1,7,67,0,global
4,chain-6697930-d4,7,7,67,1,global
